,sentence_para,sentence_counter,word_para,word_counter,syllable_para,syllable_counter
5551,4,5,82,101,140,186
5552,3,5,72,91,122,139
5553,4,6,71,108,115,188
5554,4,6,68,98,132,158
5555,4,5,80,97,131,149
5556,4,3,83,67,140,112
5557,4,3,77,55,128,100
5558,4,3,74,56,123,111
5559,7,6,71,118,124,185
5560,3,6,66,120,101,210
5561,5,7,83,131,130,204
5562,3,5,58,109,93,175
5563,3,4,76,91,128,157
5564,5,5,70,98,95,167
5565,4,6,77,129,122,220
5566,4,6,92,109,127,173
5567,5,6,94,133,152,215
5568,4,7,71,141,114,222
5569,4,5,81,103,126,176
5570,3,3,75,71,111,111
5571,3,4,83,84,128,134
5572,3,5,75,98,128,159
5573,3,6,82,135,128,203
5574,4,8,74,118,109,187
5575,4,6,91,138,129,237
5576,4,5,71,140,114,213
5577,4,7,64,121,97,194
5578,4,6,73,122,123,181
5579,3,7,72,132,112,219
5580,3,6,77,128,129,199
5581,4,5,86,118,136,196
5582,4,7,67,121,110,200
5583,4,5,83,95,153,150
5584,4,6,68,135,102,225
5585,3,5,66,99,109,165
5586,4,5,79,83,122,142
5587,4,5,69,101,115,157
5588,4,5,92,111,146,178
5589,4,5,73,119,123,184
5590,4,6,69,129,113,204
5591,4,5,73,81,109,138
5592,5,6,93,108,149,177
5593,4,6,66,116,109,200
5594,4,5,74,109,117,168
5595,5,4,80,63,130,97
5596,4,5,75,109,103,181
5597,4,4,63,89,99,163
5598,5,5,84,90,135,149
5599,4,4,80,84,140,143
5600,3,6,73,115,121,188
5601,3,5,68,94,105,151
